FIRST_NAME,LAST_NAME,AGE,GENDER,COURSE,ENROLLMENT_DATE,TOTAL_PAYMENTS
Joseph,Williams,22,F,Machine Learning,08-Jan-23,20000
Kylian,Eden,78,M,Machine Learning,08-Jan-24,20000
Esther,Naomi,21,F,Machine Learning,08-Jan-22,20000
Lay,Martin,22,M,Web Development,08-Jan-24,20000
Adeniran,Omoshola,22,F,Data Analysis,01-Jul-21,50000
Iwueze,Olaoluwa,23,M,Data Analysis,10-Jul-20,55000
Ifarele,Adeola,23,M,Data Analysis,30-Aug-22,66550
Folorunsho,Dada,22,M,Web Development,01-Jul-22,73205
Ikechukwu,Victor,22,M,Web Development,01-Jul-24,80526
Ahmed,Mohammed,23,F,Web Development,19-Jul-21,88578
Binta,Sanni,22,F,Web Development,01-Jul-21,97436
Chukwu,Ike,22,M,Web Development,01-Jul-22,107179
Okafor,Chike,23,M,Data Analysis,11-Jul-20,129687
